Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/8/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/9/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/10/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/11/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/12/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/13/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/14/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/15/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/16/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/17/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/18/2020,AQS,560019991,1,0.052,ppm,48,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/19/2020,AQS,560019991,1,0.056,ppm,54,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/20/2020,AQS,560019991,1,0.057,ppm,58,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/21/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/22/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/23/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/24/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/25/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/26/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/27/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/28/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
2/29/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/1/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/2/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/3/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/4/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/5/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/6/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/7/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/8/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/9/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/10/2020,AQS,560019991,1,0.046,ppm,43,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/11/2020,AQS,560019991,1,0.044,ppm,41,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/12/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/13/2020,AQS,560019991,1,0.048,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/14/2020,AQS,560019991,1,0.045,ppm,42,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/15/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/16/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/17/2020,AQS,560019991,1,0.052,ppm,48,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/18/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/19/2020,AQS,560019991,1,0.033,ppm,31,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/20/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/21/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/22/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/23/2020,AQS,560019991,1,0.052,ppm,48,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/24/2020,AQS,560019991,1,0.05,ppm,46,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/25/2020,AQS,560019991,1,0.051,ppm,47,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/26/2020,AQS,560019991,1,0.053,ppm,49,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/27/2020,AQS,560019991,1,0.054,ppm,50,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/28/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/29/2020,AQS,560019991,1,0.049,ppm,45,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
3/30/2020,AQS,560019991,1,0.047,ppm,44,Centennial,17,100,44201,Ozone,29660,"Laramie, WY",56,Wyoming,1,Albany,41.3642,-106.2399
