Unit,Year,Month,Traffic_count,Traffic_location,Rec_visits,NonRec_visits
JODR,2020,5,12416,North Entrance,45202,
JODR,2020,6,50177,North Entrance,233954,
JODR,2020,7,81446,North Entrance,350086,
JODR,2020,8,,North Entrance,,
JODR,2020,9,,North Entrance,,
JODR,2020,10,,North Entrance,,
JODR,2020,11,,North Entrance,,
JODR,2020,12,,North Entrance,,
JODR,2020,1,1296,South Entrance,,
JODR,2020,2,1386,South Entrance,,
JODR,2020,3,1283,South Entrance,,
JODR,2020,4,0,South Entrance,,
JODR,2020,5,12466,South Entrance,,
JODR,2020,6,50902,South Entrance,,
JODR,2020,7,67961,South Entrance,,
JODR,2020,8,,South Entrance,,
JODR,2020,9,,South Entrance,,
JODR,2020,10,,South Entrance,,
JODR,2020,11,,South Entrance,,
JODR,2020,12,,South Entrance,,
JODR,2020,1,0,West Entrance,,
JODR,2020,2,91,West Entrance,,
JODR,2020,3,50,West Entrance,,
JODR,2020,4,0,West Entrance,,
JODR,2020,5,0,West Entrance,,
JODR,2020,6,0,West Entrance,,
JODR,2020,7,0,West Entrance,,
JODR,2020,8,,West Entrance,,
JODR,2020,9,,West Entrance,,
JODR,2020,10,,West Entrance,,
JODR,2020,11,,West Entrance,,
JODR,2020,12,,West Entrance,,
YELL,2020,1,0,East Gate,25231,
YELL,2020,2,0,East Gate,41712,
YELL,2020,3,0,East Gate,22426,
YELL,2020,4,0,East Gate,0,
YELL,2020,5,8490,East Gate,46219,
YELL,2020,6,27724,East Gate,573597,
YELL,2020,7,43432,East Gate,955645,
YELL,2020,8,41329,East Gate,881543,
YELL,2020,9,33634,East Gate,837499,
YELL,2020,10,12182,East Gate,360034,
YELL,2020,11,,East Gate,,
YELL,2020,12,,East Gate,,
YELL,2020,1,6581,North Gate,,
YELL,2020,2,9251,North Gate,,
YELL,2020,3,9124,North Gate,,
YELL,2020,4,0,North Gate,,
YELL,2020,5,12406,North Gate,,
YELL,2020,6,41895,North Gate,,
YELL,2020,7,64833,North Gate,,
YELL,2020,8,64168,North Gate,,
YELL,2020,9,65709,North Gate,,
YELL,2020,10,36782,North Gate,,
YELL,2020,11,,North Gate,,
YELL,2020,12,,North Gate,,
YELL,2020,1,0,Northeast Gate,,
YELL,2020,2,0,Northeast Gate,,
YELL,2020,3,0,Northeast Gate,,
YELL,2020,4,0,Northeast Gate,,
YELL,2020,5,1219,Northeast Gate,,
YELL,2020,6,17151,Northeast Gate,,
YELL,2020,7,27164,Northeast Gate,,
YELL,2020,8,23974,Northeast Gate,,
YELL,2020,9,22514,Northeast Gate,,
YELL,2020,10,7448,Northeast Gate,,
YELL,2020,11,,Northeast Gate,,
YELL,2020,12,,Northeast Gate,,
YELL,2020,1,0,South Gate,,
YELL,2020,2,0,South Gate,,
YELL,2020,3,0,South Gate,,
YELL,2020,4,0,South Gate,,
YELL,2020,5,10139,South Gate,,
YELL,2020,6,42511,South Gate,,
YELL,2020,7,77383,South Gate,,
YELL,2020,8,66045,South Gate,,
YELL,2020,9,62374,South Gate,,
YELL,2020,10,29856,South Gate,,
YELL,2020,11,,South Gate,,
YELL,2020,12,,South Gate,,
YELL,2020,1,0,West Gate,,
YELL,2020,2,0,West Gate,,
YELL,2020,3,0,West Gate,,
YELL,2020,4,0,West Gate,,
YELL,2020,5,2376,West Gate,,
YELL,2020,6,98694,West Gate,,
YELL,2020,7,158333,West Gate,,
YELL,2020,8,152291,West Gate,,
YELL,2020,9,145545,West Gate,,
YELL,2020,10,78208,West Gate,,
YELL,2020,11,,West Gate,,
YELL,2020,12,,West Gate,,
YELL,2020,1,51615,Highway 191,,
YELL,2020,2,47190,Highway 191,,
YELL,2020,3,51026,Highway 191,,
YELL,2020,4,37980,Highway 191,,
YELL,2020,5,64139,Highway 191,,
YELL,2020,6,107580,Highway 191,,
YELL,2020,7,169570,Highway 191,,
YELL,2020,8,150040,Highway 191,,
YELL,2020,9,116970,Highway 191,,
YELL,2020,10,71579,Highway 191,,
YELL,2020,11,,Highway 191,,
YELL,2020,12,,Highway 191,,
